DATAFLOW,LAST UPDATE,freq,unit,iscedf13,isced11,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2018,3017,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2019,3203,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2020,3534,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2021,2175,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2022,2628,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2013,1482,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2014,2243,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2015,1890,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2016,1898,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2017,1764,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2018,1999,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2019,1966,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2020,2272,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2021,2372,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Ireland,2022,2393,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2013,9176,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2014,9146,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2015,9418,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2016,9042,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2017,9863,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2018,11409,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2019,11379,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2020,12374,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2021,12548,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Italy,2022,12537,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2013,1815,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2014,1602,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2015,1096,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2016,973,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2017,976,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2018,712,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2019,677,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2020,571,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2021,963,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Lithuania,2022,1003,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2013,136,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2014,110,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2015,72,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2016,118,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2017,135,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2018,171,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2019,172,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2020,211,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2021,172,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Luxembourg,2022,177,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Latvia,2013,1334,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Latvia,2014,1077,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Latvia,2015,1195,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Latvia,2016,1124,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Latvia,2017,1135,
