year,area,concept,artworks,metric,value
2006,ROU,reading_score,yes,mean_se,5.19127114614557
2006,SVK,math_score,no,mean,473.600875087416
2006,SVK,math_score,no,mean_se,14.0961573680942
2006,SVK,math_score,yes,mean,501.634648954089
2006,SVK,math_score,yes,mean_se,7.76781454248119
2006,SVK,reading_score,no,mean,441.051715138041
2006,SVK,reading_score,no,mean_se,4.40883322283442
2006,SVK,reading_score,yes,mean,479.704299426956
2006,SVK,reading_score,yes,mean_se,3.10047933286503
2006,SVN,math_score,no,mean,485.746720496754
2006,SVN,math_score,no,mean_se,6.60348248434009
2006,SVN,math_score,yes,mean,514.014259305497
2006,SVN,math_score,yes,mean_se,1.78808069162405
2006,SVN,reading_score,no,mean,467.8170898408
2006,SVN,reading_score,no,mean_se,2.66398411187895
2006,SVN,reading_score,yes,mean,507.883669138364
2006,SVN,reading_score,yes,mean_se,1.26569180703945
2006,SWE,math_score,no,mean,479.415309500059
2006,SWE,math_score,no,mean_se,13.1960973916306
2006,SWE,math_score,yes,mean,509.312816230217
2006,SWE,math_score,yes,mean_se,6.61829586485249
2006,SWE,reading_score,no,mean,477.460280956299
2006,SWE,reading_score,no,mean_se,4.63901406158064
2006,SWE,reading_score,yes,mean,517.083998818696
2006,SWE,reading_score,yes,mean_se,3.83640764653763
2006,EU28,math_score,no,mean,475.510608526615
2006,EU28,math_score,no,mean_se,0.980082622449068
2006,EU28,math_score,yes,mean,503.033186758136
