year,area,concept,computer,metric,value
2000,LUX,math_score,weekly,mean,465.737953942094
2000,LUX,math_score,weekly,mean_se,11.9974871334257
2000,LUX,math_score,yearly,mean,444.728999283847
2000,LUX,math_score,yearly,mean_se,30.3764142527626
2000,LUX,reading_score,daily,mean,448.172168198106
2000,LUX,reading_score,daily,mean_se,3.84756355656076
2000,LUX,reading_score,monthly,mean,442.350478594898
2000,LUX,reading_score,monthly,mean_se,5.05928274666327
2000,LUX,reading_score,never,mean,456.658031266846
2000,LUX,reading_score,never,mean_se,3.50002611651313
2000,LUX,reading_score,weekly,mean,460.194824310206
2000,LUX,reading_score,weekly,mean_se,2.74678108180632
2000,LUX,reading_score,yearly,mean,439.105890854078
2000,LUX,reading_score,yearly,mean_se,5.50717852123127
2000,LVA,math_score,daily,mean,488.494682327571
2000,LVA,math_score,daily,mean_se,62.365187262151
2000,LVA,math_score,monthly,mean,455.134472344915
2000,LVA,math_score,monthly,mean_se,162.744822509774
2000,LVA,math_score,never,mean,439.687599621753
2000,LVA,math_score,never,mean_se,27.5180763671596
2000,LVA,math_score,weekly,mean,489.818864524737
2000,LVA,math_score,weekly,mean_se,38.679067925862
2000,LVA,math_score,yearly,mean,454.197091388391
2000,LVA,math_score,yearly,mean_se,70.9434067679186
2000,LVA,reading_score,daily,mean,476.761443224697
2000,LVA,reading_score,daily,mean_se,6.58551899573129
2000,LVA,reading_score,monthly,mean,446.153306003954
2000,LVA,reading_score,monthly,mean_se,9.69458183748301
2000,LVA,reading_score,never,mean,443.865063140813
2000,LVA,reading_score,never,mean_se,6.24593537618823
2000,LVA,reading_score,weekly,mean,478.624283676098
2000,LVA,reading_score,weekly,mean_se,7.34479912853824
2000,LVA,reading_score,yearly,mean,455.320689353592
2000,LVA,reading_score,yearly,mean_se,7.06892779538001
2000,NLD,math_score,daily,mean,571.690175645684
2000,NLD,math_score,daily,mean_se,51.8123691980413
2000,NLD,math_score,monthly,mean,561.65564205236
2000,NLD,math_score,monthly,mean_se,83.9798170588928
2000,NLD,math_score,never,mean,535.983300147929
2000,NLD,math_score,never,mean_se,37.3956819488626
2000,NLD,math_score,weekly,mean,592.039922625654
2000,NLD,math_score,weekly,mean_se,26.351688253361
2000,NLD,math_score,yearly,mean,563.173396762077
2000,NLD,math_score,yearly,mean_se,64.371134435888
2000,NLD,reading_score,daily,mean,541.437643622719
2000,NLD,reading_score,daily,mean_se,5.60361374021462
2000,NLD,reading_score,monthly,mean,540.619601156492
2000,NLD,reading_score,monthly,mean_se,6.09532336003427
2000,NLD,reading_score,never,mean,507.246948465037
2000,NLD,reading_score,never,mean_se,6.00558650334586
2000,NLD,reading_score,weekly,mean,554.595905034106
2000,NLD,reading_score,weekly,mean_se,5.13266892049977
2000,NLD,reading_score,yearly,mean,526.76762728076
2000,NLD,reading_score,yearly,mean_se,5.98168792603281
2000,POL,math_score,daily,mean,486.592923166575
2000,POL,math_score,daily,mean_se,45.4756514945465
2000,POL,math_score,monthly,mean,483.865583910344
2000,POL,math_score,monthly,mean_se,130.73523349302
2000,POL,math_score,never,mean,436.548600318306
2000,POL,math_score,never,mean_se,76.5519995585267
2000,POL,math_score,weekly,mean,506.822847852387
2000,POL,math_score,weekly,mean_se,57.7716830557752
2000,POL,math_score,yearly,mean,448.143867856941
2000,POL,math_score,yearly,mean_se,138.496338249474
2000,POL,reading_score,daily,mean,495.146843717446
2000,POL,reading_score,daily,mean_se,5.08308295101696
2000,POL,reading_score,monthly,mean,482.947964736584
2000,POL,reading_score,monthly,mean_se,8.9047556105137
2000,POL,reading_score,never,mean,451.746319275802
2000,POL,reading_score,never,mean_se,8.17767650070404
2000,POL,reading_score,weekly,mean,514.94745912601
2000,POL,reading_score,weekly,mean_se,5.96955926689381
2000,POL,reading_score,yearly,mean,454.747791552043
2000,POL,reading_score,yearly,mean_se,10.2328471808775
2000,PRT,math_score,daily,mean,456.142279494223
2000,PRT,math_score,daily,mean_se,32.3040640184804
2000,PRT,math_score,monthly,mean,455.40943584346
2000,PRT,math_score,monthly,mean_se,60.7392747550955
2000,PRT,math_score,never,mean,450.404580601809
2000,PRT,math_score,never,mean_se,31.2846333947513
2000,PRT,math_score,weekly,mean,463.795227572476
2000,PRT,math_score,weekly,mean_se,33.6986767335237
2000,PRT,math_score,yearly,mean,455.619290576915
2000,PRT,math_score,yearly,mean_se,32.0773471685516
2000,PRT,reading_score,daily,mean,465.731526207515
2000,PRT,reading_score,daily,mean_se,7.04311980546975
2000,PRT,reading_score,monthly,mean,471.98626236677
2000,PRT,reading_score,monthly,mean_se,6.27362004024701
2000,PRT,reading_score,never,mean,472.964529266751
2000,PRT,reading_score,never,mean_se,5.99284918169158
2000,PRT,reading_score,weekly,mean,476.080385514091
2000,PRT,reading_score,weekly,mean_se,5.44678801954253
2000,PRT,reading_score,yearly,mean,474.732458662047
2000,PRT,reading_score,yearly,mean_se,5.13747915873515
2000,SWE,math_score,daily,mean,499.303369570374
2000,SWE,math_score,daily,mean_se,19.9893517814678
2000,SWE,math_score,monthly,mean,517.975304963578
2000,SWE,math_score,monthly,mean_se,17.848767841319
2000,SWE,math_score,never,mean,515.863804825958
