year,area,concept,hisced,metric,value
2003,HUN,math_score,medium,mean_se,8.13578384781608
2003,HUN,reading_score,high,mean,520.438503125453
2003,HUN,reading_score,high,mean_se,3.79825688563709
2003,HUN,reading_score,low,mean,411.904841396417
2003,HUN,reading_score,low,mean_se,7.47566380271258
2003,HUN,reading_score,medium,mean,469.747400125583
2003,HUN,reading_score,medium,mean_se,2.47840314057974
2003,IRL,math_score,high,mean,525.600911534929
2003,IRL,math_score,high,mean_se,9.09797631288332
2003,IRL,math_score,low,mean,464.110190973052
2003,IRL,math_score,low,mean_se,16.7536658670589
2003,IRL,math_score,medium,mean,497.591523214195
2003,IRL,math_score,medium,mean_se,6.15349484669467
2003,IRL,reading_score,high,mean,534.895196689113
2003,IRL,reading_score,high,mean_se,3.251184374522
2003,IRL,reading_score,low,mean,480.701784730095
2003,IRL,reading_score,low,mean_se,4.54388338086762
2003,IRL,reading_score,medium,mean,512.322301278388
2003,IRL,reading_score,medium,mean_se,2.80476254310796
2003,ITA,math_score,high,mean,482.769949021041
2003,ITA,math_score,high,mean_se,11.122901523224
2003,ITA,math_score,low,mean,430.005413471586
2003,ITA,math_score,low,mean_se,16.6343001021074
2003,ITA,math_score,medium,mean,482.608175372549
2003,ITA,math_score,medium,mean_se,9.73506974866413
2003,ITA,reading_score,high,mean,496.288927696997
2003,ITA,reading_score,high,mean_se,3.47827939370743
2003,ITA,reading_score,low,mean,437.013109641778
2003,ITA,reading_score,low,mean_se,4.50911239723318
2003,ITA,reading_score,medium,mean,489.218312876257
2003,ITA,reading_score,medium,mean_se,3.42742791267539
2003,LUX,math_score,high,mean,519.047657127797
2003,LUX,math_score,high,mean_se,2.98692647645617
2003,LUX,math_score,low,mean,452.586729505746
2003,LUX,math_score,low,mean_se,10.1203674870087
2003,LUX,math_score,medium,mean,492.252689446774
2003,LUX,math_score,medium,mean_se,7.05325044201864
2003,LUX,reading_score,high,mean,505.807971156446
2003,LUX,reading_score,high,mean_se,2.27560444628251
2003,LUX,reading_score,low,mean,431.270669968597
2003,LUX,reading_score,low,mean_se,3.93542474427756
2003,LUX,reading_score,medium,mean,483.18029093387
2003,LUX,reading_score,medium,mean_se,2.93080926054374
2003,LVA,math_score,high,mean,492.184198772964
2003,LVA,math_score,high,mean_se,17.5045171941677
2003,LVA,math_score,low,mean,419.848918021176
2003,LVA,math_score,low,mean_se,178.027315979499
2003,LVA,math_score,medium,mean,474.285497172827
2003,LVA,math_score,medium,mean_se,14.5493992549118
2003,LVA,reading_score,high,mean,496.480224184292
2003,LVA,reading_score,high,mean_se,4.41206192907428
2003,LVA,reading_score,low,mean,454.926155473178
2003,LVA,reading_score,low,mean_se,17.2498175787199
2003,LVA,reading_score,medium,mean,485.116397336519
2003,LVA,reading_score,medium,mean_se,4.19512921522066
2003,NLD,math_score,high,mean,566.363945199123
2003,NLD,math_score,high,mean_se,10.7221005144926
2003,NLD,math_score,low,mean,514.750335888489
2003,NLD,math_score,low,mean_se,39.806643703956
2003,NLD,math_score,medium,mean,533.862807327531
2003,NLD,math_score,medium,mean_se,9.79811953874143
2003,NLD,reading_score,high,mean,536.520574726375
2003,NLD,reading_score,high,mean_se,3.09169863474622
2003,NLD,reading_score,low,mean,495.308754549
2003,NLD,reading_score,low,mean_se,5.4563323478048
2003,NLD,reading_score,medium,mean,510.873831742778
2003,NLD,reading_score,medium,mean_se,3.53888357090413
2003,POL,math_score,high,mean,534.027394216953
2003,POL,math_score,high,mean_se,11.1170849804885
2003,POL,math_score,low,mean,434.168420972191
2003,POL,math_score,low,mean_se,83.5563623338863
2003,POL,math_score,medium,mean,479.297750662092
2003,POL,math_score,medium,mean_se,6.37197665381259
2003,POL,reading_score,high,mean,539.759335233619
2003,POL,reading_score,high,mean_se,3.70933431096017
2003,POL,reading_score,low,mean,429.762250766797
2003,POL,reading_score,low,mean_se,11.9082557468037
2003,POL,reading_score,medium,mean,486.154885272975
2003,POL,reading_score,medium,mean_se,2.92384740164599
2003,PRT,math_score,high,mean,492.378848363825
2003,PRT,math_score,high,mean_se,31.2449435364523
2003,PRT,math_score,low,mean,449.252065628418
2003,PRT,math_score,low,mean_se,9.71771258285811
2003,PRT,math_score,medium,mean,485.926714866385
2003,PRT,math_score,medium,mean_se,11.5401555269778
2003,PRT,reading_score,high,mean,495.485040515632
2003,PRT,reading_score,high,mean_se,6.29408078892303
2003,PRT,reading_score,low,mean,464.37936678749
